ConditionName,TrialNumber,FittsID,CompletionTime,Errors
Sticky-Zero,1,0.50639826,779,0
Sticky-Zero,2,0.41943815,878,0
Sticky-Zero,3,0.36086062,688,0
Sticky-Zero,4,0.21701874,624,0
Sticky-Zero,5,0.14657272,1194,0
Sticky-Zero,6,0.39463943,961,0
Sticky-Zero,7,0.035187393,692,0
Sticky-Zero,8,0.092861965,765,0
Sticky-Zero,9,0.4276034,745,0
Sticky-Zero,10,0.34006345,803,0
Sticky-Zero,11,0.25124258,952,0
Sticky-Zero,12,0.45519,888,0
Sticky-Zero,13,0.31098923,807,0
Sticky-Zero,14,0.22920932,781,0
Sticky-Zero,15,0.07395015,1211,0
Sticky-Zero,16,0.068824686,1006,0
Sticky-Zero,17,0.28151634,805,0
Sticky-Zero,18,0.25093302,429,0
Sticky-Zero,19,0.07132274,677,0
Sticky-Zero,20,0.12357994,859,0
Sticky-Zero,21,0.32824117,837,0
Sticky-Zero,22,0.2699254,813,0
Sticky-Zero,23,0.24051331,1058,0
Sticky-Zero,24,0.36858693,844,0
Sticky-Zero,25,0.29387826,641,0
Sticky-Zero,26,0.47756103,1055,0
Sticky-Zero,27,0.31339484,873,0
Sticky-Zero,28,0.37836352,932,0
Sticky-Zero,29,0.19830354,1050,0
Sticky-Zero,30,0.2096183,831,0
Sticky-Zero,31,0.2712849,763,0
Sticky-Zero,32,0.16970989,987,0
Sticky-Zero,33,0.35526586,1020,0
Sticky-Zero,34,0.2157836,860,0
Sticky-Zero,35,0.19822426,933,0
Sticky-Zero,36,0.3028793,854,0
Sticky-Zero,37,0.12896724,621,0
Sticky-Zero,38,0.38537583,784,0
Sticky-Zero,39,0.24570385,835,0
Sticky-Zero,40,0.56711435,1235,0
Sticky-Zero,41,0.14506112,811,0
Sticky-Zero,42,0.4293628,1188,0
Sticky-Zero,43,0.18672225,803,0
Sticky-Zero,44,0.28486925,898,0
Sticky-Zero,45,0.33703628,1180,0
Sticky-Zero,46,0.4245955,776,0
Sticky-Zero,47,0.34533566,805,0
Sticky-Zero,48,0.1604919,777,0
Sticky-Zero,49,0.18343276,904,0
Sticky-Zero,50,0.39720705,856,0
Sticky-Zero,51,0.3201607,640,0
Sticky-Zero,52,0.13801847,773,0
Sticky-Zero,53,0.11088247,1068,0
Sticky-Zero,54,0.12015259,714,0
Sticky-Zero,55,0.14751379,618,0

Sticky-Low,1,0.27564016,1365,0
Sticky-Low,2,0.4874175,747,0
Sticky-Low,3,0.30131686,831,0
Sticky-Low,4,0.58704203,681,1
